iter	Logloss
0	0.5674557686
1	0.4634186745
2	0.3926396847
3	0.3317412853
4	0.2685471058
5	0.2337156057
6	0.2080240011
7	0.1836140156
8	0.1668249369
9	0.1507712245
10	0.137893033
11	0.1254014015
12	0.1163037181
13	0.10733217
14	0.09661074877
15	0.08989729881
16	0.08235348463
17	0.07287100554
18	0.06874386668
19	0.06394441128
20	0.06157236695
21	0.05727124214
22	0.05545426607
23	0.05234341621
24	0.04962244332
25	0.04715180397
26	0.04501242936
27	0.04263014197
28	0.0398203522
29	0.03849272132
30	0.03652521968
31	0.03458239436
32	0.03232892752
33	0.0313026607
34	0.03023513556
35	0.02917051911
36	0.02821985483
37	0.02727193236
38	0.02654443979
39	0.02587762475
40	0.02508072853
41	0.02365788817
42	0.02276051342
43	0.02214629948
44	0.02173524201
45	0.02123011351
46	0.02070410848
47	0.01990991235
48	0.01917541325
49	0.01878594756
